id,name,city,state,street,zip,country,url,grade_levels,enrollment_size,school_type,student_body
40496,Saint Michael's Country Day School,Newport,RI,180 Rhode Island Ave,02840-3341,US,/school-directory/school/40496,"Pre-School, Elementary/Primary School, Middle School/Junior High School",201-300,Day,CoEd
41781,Saint Patrick Academy,Portsmouth,NH,315 Banfield Rd,03801-5613,US,/school-directory/school/41781,"Pre-School, Elementary/Primary School, Middle School/Junior High School",201-300,Day,CoEd
43110,Saint Patrick Catholic School,Norfolk,VA,1000 Bolling Ave,23508-1604,US,/school-directory/school/43110,"Pre-School, Elementary/Primary School, Middle School/Junior High School",301-500,Day,CoEd
39817,Saint Paul's School,Clearwater,FL,1600 Saint Pauls Dr,33764-6458,US,/school-directory/school/39817,"Pre-School, Elementary/Primary School, Middle School/Junior High School",301-500,Day,CoEd
42418,Saint Philip's Episcopal School,Coral Gables,FL,1121 Andalusia Avenue,33134-5509,US,/school-directory/school/42418,"Pre-School, Elementary/Primary School",101-200,Day,CoEd
39843,Saint Stephen's Episcopal School,Bradenton,FL,315 41st St West,34209-2943,US,/school-directory/school/39843,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School, Post-Graduate School",501-700,Day,CoEd
40263,Saint Thomas Episcopal School,Houston,TX,4900 Jackwood,77096-1505,US,/school-directory/school/40263,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",501-700,Day,CoEd
43249,Saint Xavier High School,Louisville,KY,1609 Poplar Level Rd,40217-1359,US,/school-directory/school/43249,High School,1001+,Day Services Available Lunch,Boys
39864,Salem Academy,Winston Salem,NC,601 South Church Street,27101-5355,US,/school-directory/school/39864,High School,0-100,Boarding Day,Girls
39868,Salisbury School,Salisbury,CT,251 Canaan Rd,06068-1602,US,/school-directory/school/39868,"High School, Post-Graduate School",301-500,Boarding Day,Boys
88322,Salmonberry School,Eastsound,WA,"PO Box 1197 
867 North Beach Road",98245-1197,US,/school-directory/school/88322,,0-100,,CoEd
40815,San Antonio Academy,San Antonio,TX,117 E French Pl,78212-5802,US,/school-directory/school/40815,"Pre-School, Elementary/Primary School, Middle School/Junior High School",301-500,Day,Boys
40371,San Diego French-American School,La Jolla,CA,6550 Soledad Mountain Rd,92037-5835,US,/school-directory/school/40371,"Pre-School, Elementary/Primary School, Middle School/Junior High School",301-500,Day,CoEd
41948,San Diego Jewish Academy,San Diego,CA,11860 Carmel Creek Rd,92130-2474,US,/school-directory/school/41948,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",501-700,Day,CoEd
39881,San Domenico School,San Anselmo,CA,1500 Butterfield Rd,94960-1099,US,/school-directory/school/39881,"Elementary/Primary School, Middle School/Junior High School, High School",501-700,Boarding Day,CoEd
40458,San Francisco Day School,San Francisco,CA,350 Masonic Ave,94118-4419,US,/school-directory/school/40458,"Elementary/Primary School, Middle School/Junior High School",301-500,Day,CoEd
43080,San Francisco Friends School,San Francisco,CA,250 Valencia St,94103-2322,US,/school-directory/school/43080,"Elementary/Primary School, Middle School/Junior High School",301-500,Day,CoEd
43381,San Francisco High School of the Arts,San Francisco,CA,1950 Page Street,94117,US,/school-directory/school/43381,High School,0-100,Day,CoEd
40749,San Francisco Schoolhouse,San Francisco,CA,735 Fell Street,94117,US,/school-directory/school/40749,"Elementary/Primary School, Middle School/Junior High School",101-200,Day,CoEd
39890,San Francisco University High School,San Francisco,CA,3065 Jackson St,94115-1022,US,/school-directory/school/39890,High School,301-500,Day,CoEd
42770,San Francisco Waldorf School,San Francisco,CA,2938 Washington St,94115-1727,US,/school-directory/school/42770,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",301-500,Day,CoEd
42166,San Jose Episcopal Day School,Jacksonville,FL,7423 San Jose Blvd,32217-3429,US,/school-directory/school/42166,"Pre-School, Elementary/Primary School",201-300,Day,CoEd
40693,Sand Hill School,Palo Alto,CA,650 Clark Way,94304-2300,US,/school-directory/school/40693,"Elementary/Primary School, Middle School/Junior High School",0-100,Day,CoEd
42837,Sandhills School,Columbia,SC,1500 Hallbrook Dr,29209-4021,US,/school-directory/school/42837,"Elementary/Primary School, Middle School/Junior High School, High School",0-100,Day,CoEd
39876,Sandia Preparatory School,Albuquerque,NM,532 Osuna Rd NE,87113-1031,US,/school-directory/school/39876,"Middle School/Junior High School, High School",501-700,Day,CoEd
40238,Sandy Spring Friends School,Sandy Spring,MD,16923 Norwood Rd,20860-1112,US,/school-directory/school/40238,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",501-700,Day,CoEd
39886,Sanford School,Hockessin,DE,6900 Lancaster Pike,19707-8719,US,/school-directory/school/39886,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",501-700,Day,CoEd
42416,Santa Barbara Middle School,Santa Barbara,CA,1321 Alameda Padre Serra,93103-1809,US,/school-directory/school/42416,Middle School/Junior High School,101-200,Day,CoEd
39898,Santa Catalina School,Monterey,CA,1500 Mark Thomas Dr,93940-5291,US,/school-directory/school/39898,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",301-500,Boarding Day,CoEd
39902,Santa Fe Preparatory School,Santa Fe,NM,1101 Camino de La Cruz Blanca,87505-0391,US,/school-directory/school/39902,"Middle School/Junior High School, High School",301-500,Day,CoEd
42450,Saul Mirowitz Jewish Community School,Saint Louis,MO,348 S. Mason Rd.,63141-8029,US,/school-directory/school/42450,"Elementary/Primary School, Middle School/Junior High School",101-200,Day,CoEd
40221,Savannah Country Day School,Savannah,GA,824 Stillwood Dr,31419-2643,US,/school-directory/school/40221,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",1001+,Day,CoEd
39792,Sayre School,Lexington,KY,194 N Limestone,40507-1181,US,/school-directory/school/39792,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",501-700,Day,CoEd
40377,Scarsdale High School,Scarsdale,NY,1057 Post Rd,10583-3096,US,/school-directory/school/40377,High School,1001+,"Day Services Available Lunch, Transportation",CoEd
44452,Scattergood Friends School,West Branch,IA,1951 Delta Ave,52358-8507,US,/school-directory/school/44452,"Middle School/Junior High School, High School",0-100,Boarding Day,CoEd
43771,Scecina Memorial High School,Indianapolis,IN,5000 Nowland Ave,46201-1836,US,/school-directory/school/43771,,301-500,Day,CoEd
40475,School of the Holy Child,Rye,NY,2225 Westchester Ave,10580-1998,US,/school-directory/school/40475,"Middle School/Junior High School, High School",301-500,Day,Girls
42351,School One,Providence,RI,220 University Ave,02906-5499,US,/school-directory/school/42351,High School,0-100,Day,CoEd
42576,School Year Abroad,North Andover,MA,"120 Water Street, Suite 310",01845-2648,US,/school-directory/school/42576,High School,101-200,Boarding,CoEd
41896,Schools of the Sacred Heart,Grand Coteau,LA,1821 Academy Road,70541-0310,US,/school-directory/school/41896,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",301-500,Boarding Day,CoEd
42105,Science and Arts Academy,Des Plaines,IL,1825 Miner St,60016-4778,US,/school-directory/school/42105,"Pre-School, Elementary/Primary School, Middle School/Junior High School",201-300,Day,CoEd
42734,Sea Crest School,Half Moon Bay,CA,901 Arnold Way,94019-2188,US,/school-directory/school/42734,"Elementary/Primary School, Middle School/Junior High School",301-500,Day,CoEd
39806,Seabury Hall,Makawao,HI,480 Olinda Rd,96768-7399,US,/school-directory/school/39806,"Middle School/Junior High School, High School",501-700,Day,CoEd
41985,Seabury School,Tacoma,WA,1801 53rd St NE,98422-1916,US,/school-directory/school/41985,"Pre-School, Elementary/Primary School",0-100,Day,CoEd
42457,Seacrest Country Day School,Naples,FL,7100 Davis Blvd,34104-5314,US,/school-directory/school/42457,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",301-500,Day,CoEd
42338,Seattle Academy of Arts and Sciences (Seattle Academy),Seattle,WA,1201 E Union St,98122-3925,US,/school-directory/school/42338,"Middle School/Junior High School, High School",1001+,Day,CoEd
41419,Seattle Country Day School,Seattle,WA,2619 4th Avenue N,98109-1903,US,/school-directory/school/41419,"Elementary/Primary School, Middle School/Junior High School",301-500,Day,CoEd
43041,Seattle Girls' School,Seattle,WA,1700 24th Ave S,98144,US,/school-directory/school/43041,Middle School/Junior High School,101-200,Day,Girls
42614,Seattle Jewish Community School,Seattle,WA,7217 Woodlawn Avenue NE,98115,US,/school-directory/school/42614,Elementary/Primary School,0-100,Day,CoEd
43033,Seattle Waldorf School,Seattle,WA,2728 NE 100th St,98125-7712,US,/school-directory/school/43033,"Pre-School, Elementary/Primary School, Middle School/Junior High School",101-200,Day,CoEd
42736,Seneca Academy,Darnestown,MD,15601 Germantown Rd,20874-3039,US,/school-directory/school/42736,"Pre-School, Elementary/Primary School",101-200,Day,CoEd
43292,Sequoyah School,Pasadena,CA,535 S Pasadena Ave,91105-3001,US,/school-directory/school/43292,"Elementary/Primary School, Middle School/Junior High School, High School",301-500,Day,CoEd
42088,Seven Acres Montessori,Wilton,CT,34 Whipple Rd,06897-4514,US,/school-directory/school/42088,"Pre-School, Elementary/Primary School",101-200,Day,CoEd
43125,Seven Arrows Elementary School,Pacific Palisades,CA,15240 La Cruz Dr,90272-3609,US,/school-directory/school/43125,Elementary/Primary School,101-200,Day,CoEd
41062,Seven Hills School,Richmond,VA,1311 Overbrook Rd,23220-1405,US,/school-directory/school/41062,"Elementary/Primary School, Middle School/Junior High School",0-100,Day,Boys
43294,Seven Peaks School,Bend,OR,19660 SW Mountaineer Way,97702-6500,US,/school-directory/school/43294,"Pre-School, Elementary/Primary School, Middle School/Junior High School",201-300,Day,CoEd
39815,Severn School,Severna Park,MD,201 Water St,21146-4522,US,/school-directory/school/39815,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",701-1000,Day,CoEd
39819,Sewickley Academy,Sewickley,PA,315 Academy Ave,15143-1200,US,/school-directory/school/39819,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",501-700,Day,CoEd
39823,Shady Hill School,Cambridge,MA,178 Coolidge Hill,02138-5520,US,/school-directory/school/39823,"Pre-School, Elementary/Primary School, Middle School/Junior High School",501-700,Day,CoEd
39827,Shady Side Academy,Pittsburgh,PA,423 Fox Chapel Rd,15238-2247,US,/school-directory/school/39827,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",1001+,Boarding Day,CoEd
43145,Shalom School,Sacramento,CA,2320 Sierra Blvd.,95825-1198,US,/school-directory/school/43145,"Pre-School, Elementary/Primary School",101-200,Day,CoEd
38767,Shattuck-St. Mary's School,Faribault,MN,1000 Shumway Ave,55021-4400,US,/school-directory/school/38767,"Middle School/Junior High School, High School, Post-Graduate School",301-500,Boarding Day,CoEd
42072,Shelton School,Dallas,TX,17301 Preston Road,75252,US,/school-directory/school/42072,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",1001+,Day,CoEd
39831,Sheridan School,Washington,DC,4400 36th St NW,20008-4208,US,/school-directory/school/39831,"Elementary/Primary School, Middle School/Junior High School",301-500,Day,CoEd
39842,Shore Country Day School,Beverly,MA,545 Cabot St,01915-2597,US,/school-directory/school/39842,"Pre-School, Elementary/Primary School, Middle School/Junior High School",201-300,Day,CoEd
40387,Shorecrest Preparatory School,Saint Petersburg,FL,5101 1st St NE,33703-3099,US,/school-directory/school/40387,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",1001+,Day,CoEd
41541,Shrewsbury Montessori School Corp.,Shrewsbury,MA,55 Oak Street,01545-2733,US,/school-directory/school/41541,,101-200,Day,CoEd
39845,Sidwell Friends School,Washington,DC,3825 Wisconsin Ave NW,20016-2907,US,/school-directory/school/39845,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",1001+,Day,CoEd
43068,Sierra Canyon School,Chatsworth,CA,11052 Independence Ave,91311-1562,US,/school-directory/school/43068,High School,1001+,Day,CoEd
41958,Silicon Valley International School,Palo Alto,CA,151 Laura Lane,94303-3221,US,/school-directory/school/41958,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",701-1000,Day,CoEd
